author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction,finishing_type,heating_type,housing_type
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049888/,Красногорск,sale,flat,22,25,3,79.36,20982308,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306414696/,Красногорск,sale,flat,6,9,1,42.2,8670000,, Алексеевская,3,Аникеевка,Опалиха Парк,Не указано,-1,Не указано,Не указано,Не указано
Алексей Грипич,realtor,https://krasnogorsk.cian.ru/sale/flat/307823561/,Красногорск,sale,flat,11,17,1,41.0,5500000,,бульвар Южный,4,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/307229979/,Красногорск,sale,flat,9,25,1,44.42,12478555,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308799549/,Красногорск,sale,flat,3,4,3,73.4,11900000,, Народного Ополчения,36,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Парадайс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308439223/,Красногорск,sale,flat,6,28,1,23.8,5700000,, Липовой Рощи,1к3,Липовая Роща,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049878/,Красногорск,sale,flat,17,25,1,29.98,9993113,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
ID 74221514,realtor,https://krasnogorsk.cian.ru/sale/flat/305886771/,Красногорск,sale,flat,23,25,2,38.7,9800000,,Заводская ,18к3,Павшино,мкрн. Южный (Ул. Заводская корп. 31),Не указано,-1,Не указано,Не указано,Не указано
Самолет Плюс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308695069/,Красногорск,sale,flat,17,34,1,40.0,8500000,,,64.,Липовая Роща,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049884/,Красногорск,sale,flat,19,25,2,59.49,16343747,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Сулейман Махаури,realtor,https://krasnogorsk.cian.ru/sale/flat/294741975/,Красногорск,sale,flat,16,24,2,82.0,9700000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Сергей Борцов,realtor,https://krasnogorsk.cian.ru/sale/flat/297648476/,Красногорск,sale,flat,2,22,1,19.5,6000000,,бульвар Подмосковный,2,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049917/,Красногорск,sale,flat,18,25,1,45.39,14104443,,,к5,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308157390/,Красногорск,sale,flat,5,17,2,53.0,9990000,, Народного Ополчения,2Бк2,Митино,Брусчатый поселок,Не указано,-1,Не указано,Не указано,Не указано
do A.S.A.P.,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307486811/,Красногорск,sale,flat,19,25,1,36.0,6450000,,бульвар Космонавтов,11,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049880/,Красногорск,sale,flat,18,25,2,63.48,17253991,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
ID 122083546,homeowner,https://krasnogorsk.cian.ru/sale/flat/307636806/,Красногорск,sale,flat,5,17,2,53.0,9990000,, Народного Ополчения,2Бк2,Митино,Брусчатый поселок,Не указано,-1,Не указано,Не указано,Не указано
VIVAVI ESTATE,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307287934/,Красногорск,sale,flat,4,22,1,50.6,8490000,,бульвар Подмосковный,8,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049916/,Красногорск,sale,flat,17,25,3,84.84,24824099,,,к5,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
RND,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/309001869/,Красногорск,sale,flat,8,22,4,84.1,19000000,,бульвар Подмосковный,10,Пенягино,Павшинская пойма мкр. 2,Не указано,-1,Не указано,Не указано,Не указано
Росэлторг,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307785274/,Красногорск,sale,flat,1,8,1,37.4,5832000,, Пришвина,15,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/276781249/,Красногорск,sale,flat,2,6,1,40.2,12135612,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308410845/,Красногорск,sale,flat,2,6,4,145.0,17900000,, Новая Опалиха,1,Опалиха,Новая Опалиха,Не указано,-1,Не указано,Не указано,Не указано
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302997308/,Красногорск,sale,flat,1,5,2,43.0,6300000,,Железнодорожная ,36а,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/297604914/,Красногорск,sale,flat,3,6,2,65.3,16972518,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308959383/,Красногорск,sale,flat,4,10,1,34.0,7500000,, Королева,5,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
СмениКварти.Ру,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308833060/,Красногорск,sale,flat,9,25,1,32.0,6500000,,бульвар Космонавтов,12,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/276781409/,Красногорск,sale,flat,1,6,4,106.1,26257063,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
ID 883747,unknown,https://krasnogorsk.cian.ru/sale/flat/308858112/,Красногорск,sale,flat,5,10,1,48.8,8100000,,Строительная ,5,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
CENTURY 21 Столичная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308825751/,Красногорск,sale,flat,2,9,1,33.0,6400000,,Лесная ,3,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/275931829/,Красногорск,sale,flat,2,6,5,117.3,27549598,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Метражи group,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305779737/,Красногорск,sale,flat,12,31,1,33.67,9950000,,,к13,Липовая Роща,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
КОММЕРСАНТ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306147343/,Красногорск,sale,flat,3,5,1,17.3,4400000,, Кирова,5а,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/308706705/,Красногорск,sale,flat,4,6,3,69.3,17110123,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Century 21 Premium Property,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/294289351/,Красногорск,sale,flat,12,21,3,98.0,17100000,,бульвар Ильинский,8,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
ID 182291,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/295713713/,Красногорск,sale,flat,1,3,3,74.1,8500000,, Глинки,4,Аникеевка,Красногорск Парк,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/276781322/,Красногорск,sale,flat,2,6,1,41.1,12613357,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308464322/,Красногорск,sale,flat,1,5,1,30.1,5490000,,Речная ,3,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Самолет Плюс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307301794/,Красногорск,sale,flat,10,34,-1,28.1,7500000,,,к13,Липовая Роща,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049822/,Красногорск,sale,flat,8,28,2,49.98,15118800,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
BRIGHT ESTATE - загородная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/274016659/,Красногорск,sale,flat,2,8,4,154.0,125000000,, Согласия,9/1,Мякинино,Парк Рублево,Не указано,-1,Не указано,Не указано,Не указано
Князев и Партнёры,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305835166/,Красногорск,sale,flat,5,8,2,43.1,11000000,, Пришвина,3,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308650108/,Красногорск,sale,flat,21,24,1,32.7,12163648,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Ай Кью Проекты,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/293556306/,Красногорск,sale,flat,12,33,1,35.1,8300000,, Липовой Рощи,2к1,Строгино,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303383668/,Красногорск,sale,flat,16,22,2,73.5,12300000,,бульвар Павшинский,16,Пенягино," Павшинский бульвар, 16",Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912298/,Красногорск,sale,flat,24,24,2,54.72,15977912,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
На Петровке,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308225776/,Красногорск,sale,flat,4,10,2,74.0,20900000,,бульвар Серебряный,1,Опалиха,Серебрица,Не указано,-1,Не указано,Не указано,Не указано
ЕГСН Продажа,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303394632/,Красногорск,sale,flat,2,12,1,35.0,6200000,,Железнодорожная ,33,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049828/,Красногорск,sale,flat,14,28,3,79.15,21627421,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
TimeProperty,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307862780/,Красногорск,sale,flat,6,7,2,42.9,24800000,, Согласия,19,Строгино,Парк Рублево,Не указано,-1,Не указано,Не указано,Не указано
Офис на Серпуховской,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307099163/,Красногорск,sale,flat,8,9,2,50.0,7900000,,Пионерская ,19,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912400/,Красногорск,sale,flat,18,24,1,22.1,8368342,,,к1,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Homeapp,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308708712/,Красногорск,sale,flat,9,17,1,47.9,7790000,,Успенская ,32,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
ГОРОДА,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308887727/,Красногорск,sale,flat,15,25,1,32.5,6400000,,бульвар Космонавтов,12,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912288/,Красногорск,sale,flat,12,24,3,76.04,17714583,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Эксклюзив Хоум,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307063932/,Красногорск,sale,flat,16,30,1,27.6,8499000,, Большая Воскресенская,1,Павшино,Тетрис,Не указано,-1,Не указано,Не указано,Не указано
Мегаполис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305831918/,Красногорск,sale,flat,1,3,3,73.7,8600000,, Народного Ополчения,33,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912319/,Красногорск,sale,flat,5,24,2,58.78,14488682,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Villagio Realty,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308331587/,Красногорск,sale,flat,2,18,1,37.8,7400000,, Вилора Трифонова,7,Опалиха,,Не указано,-1,Не указано,Не указано,Не указано
Наталия Комбарова,realtor,https://krasnogorsk.cian.ru/sale/flat/306540952/,Красногорск,sale,flat,5,5,2,44.1,7000000,,Вокзальная ,12,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912383/,Красногорск,sale,flat,20,24,2,50.3,15667696,,,к1,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Vysotsky Estate,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308541879/,Красногорск,sale,flat,2,24,3,72.8,11500000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
Самолет Плюс МСК-Север,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307425789/,Красногорск,sale,flat,2,5,2,44.0,8000000,,Железнодорожная ,30А,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/302743611/,Красногорск,sale,flat,1,6,1,38.4,12098283,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Landis,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304426869/,Красногорск,sale,flat,15,44,1,37.0,9300000,, Авангардная,6,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
Макспол Парк Культуры,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308888458/,Красногорск,sale,flat,3,8,2,49.0,12500000,, Пришвина,7,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912376/,Красногорск,sale,flat,15,24,1,25.75,9194836,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Homeapp,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308006572/,Красногорск,sale,flat,4,9,3,67.4,12450000,, Ленина,23,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/293716019/,Красногорск,sale,flat,2,3,-1,30.0,4800000,,Оптический проезд,1,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912385/,Красногорск,sale,flat,4,24,2,50.8,15761868,,,к1,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Vysotsky Estate,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308541877/,Красногорск,sale,flat,2,24,2,72.8,11500000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
ID 102628650,homeowner,https://krasnogorsk.cian.ru/sale/flat/303399508/,Красногорск,sale,flat,19,20,3,74.0,13750000,,бульвар Подмосковный,12,Пенягино,Павшинская пойма мкр. 2,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/308893197/,Красногорск,sale,flat,4,28,3,80.53,17698400,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
Парадайс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308979846/,Красногорск,sale,flat,17,22,3,97.6,19800000,,бульвар Подмосковный,1,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Роман Пузаченков,realtor,https://krasnogorsk.cian.ru/sale/flat/308152767/,Красногорск,sale,flat,7,14,1,36.1,7700000,,Оптический проезд,16,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/276781330/,Красногорск,sale,flat,4,6,2,63.2,16786228,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Ай Кью Проекты,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307418548/,Красногорск,sale,flat,2,33,1,35.0,9990000,, Липовой Рощи,1к1,Строгино,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
Александр Кузнецов,realtor,https://krasnogorsk.cian.ru/sale/flat/306448257/,Красногорск,sale,flat,25,33,-1,27.5,6500000,, Липовой Рощи,1к2,Строгино,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912326/,Красногорск,sale,flat,3,24,1,38.14,12836932,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
BRIGHT ESTATE - загородная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/301955861/,Красногорск,sale,flat,4,4,4,144.6,110000000,, Согласия,4/2,Мякинино,Парк Рублево,Не указано,-1,Не указано,Не указано,Не указано
Александра Григорьева,realtor,https://krasnogorsk.cian.ru/sale/flat/308385790/,Красногорск,sale,flat,16,34,1,35.36,7700000,,,21,Строгино,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/307838159/,Красногорск,sale,flat,7,28,2,67.14,15703375,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
Vysotsky Estate,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307954833/,Красногорск,sale,flat,7,8,1,44.0,6500000,, Алексеевская,3,Аникеевка,Опалиха Парк,Не указано,-1,Не указано,Не указано,Не указано
Павел Колеевский,realtor,https://krasnogorsk.cian.ru/sale/flat/308152152/,Красногорск,sale,flat,8,8,1,32.0,8600000,, Пришвина,9,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049783/,Красногорск,sale,flat,16,28,3,76.16,20115608,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
Century21 Феникс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308426114/,Красногорск,sale,flat,2,5,2,44.0,7300000,,Железнодорожная ,28,Красногорская,,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308803778/,Красногорск,sale,flat,16,34,1,34.0,7900000,,,к14,Липовая Роща,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/308818819/,Красногорск,sale,flat,25,28,2,62.84,14228673,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
Брусника Обмен,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307520886/,Красногорск,sale,flat,21,32,1,22.3,7550000,, Большая Воскресенская,1,Павшино,Тетрис,Не указано,-1,Не указано,Не указано,Не указано
ZIP Realty,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308869960/,Красногорск,sale,flat,2,6,2,41.7,8900000,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308656113/,Красногорск,sale,flat,21,32,1,53.43,15993255,,,19,Строгино,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
Елена Лобанова,realtor,https://krasnogorsk.cian.ru/sale/flat/308189721/,Красногорск,sale,flat,15,46,2,43.0,10000000,, Авангардная,4,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
ID 74210151,unknown,https://krasnogorsk.cian.ru/sale/flat/306701521/,Красногорск,sale,flat,17,17,2,52.0,11150000,,бульвар Ильинский,2,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912314/,Красногорск,sale,flat,2,24,2,51.15,15247662,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
ГОРОБМЕН,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308191320/,Красногорск,sale,flat,13,24,1,29.0,5999999,,бульвар Космонавтов,17,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
ИП Горбунова Н. А.,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306103074/,Красногорск,sale,flat,28,33,2,43.5,9700000,, Липовой Рощи,1к2,Строгино,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/308755832/,Красногорск,sale,flat,27,28,2,55.88,14575851,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306225359/,Красногорск,sale,flat,21,25,2,59.8,13000000,,бульвар Ильинский,2А,Пенягино,Павшинская пойма мкрн. 4,Не указано,-1,Не указано,Не указано,Не указано
ID 11088789,realtor,https://krasnogorsk.cian.ru/sale/flat/296955996/,Красногорск,sale,flat,1,5,1,31.1,5150000,, Благовещенская,6,Аникеевка,,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308656169/,Красногорск,sale,flat,2,30,2,63.65,18782797,,,20,Липовая Роща,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
ССК Риэлти,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305322607/,Красногорск,sale,flat,6,15,1,52.4,12700000,,бульвар Павшинский,38,Пенягино,Красногорье DELUXE,Не указано,-1,Не указано,Не указано,Не указано
ID 111593980,homeowner,https://krasnogorsk.cian.ru/sale/flat/308256569/,Красногорск,sale,flat,13,19,3,64.0,19300000,,бульвар Красногорский,23к3,Мякинино,Спасский Мост,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/308818801/,Красногорск,sale,flat,5,28,2,72.46,15140227,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
ID 536464,unknown,https://krasnogorsk.cian.ru/sale/flat/304786855/,Красногорск,sale,flat,8,8,-1,41.0,7700000,,бульвар Серебряный,3,Опалиха,Серебрица,Не указано,-1,Не указано,Не указано,Не указано
ID 11175322,homeowner,https://krasnogorsk.cian.ru/sale/flat/307361235/,Красногорск,sale,flat,5,8,2,61.0,7650000,, Алексеевская,3,Аникеевка,Опалиха Парк,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308650028/,Красногорск,sale,flat,23,24,3,70.01,19412195,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
Century21 Феникс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308569572/,Красногорск,sale,flat,7,11,1,33.0,7400000,, Королева,7,Павшино,,Не указано,-1,Не указано,Не указано,Не указано
CENTURY 21 Столичная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307855670/,Красногорск,sale,flat,8,16,1,42.5,7990000,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/276781226/,Красногорск,sale,flat,5,6,2,52.2,14465175,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
Century21 Феникс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308300884/,Красногорск,sale,flat,14,17,1,42.3,10700000,,бульвар Красногорский,13к2,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
ID 103420577,homeowner,https://krasnogorsk.cian.ru/sale/flat/308855216/,Красногорск,sale,flat,3,8,1,40.5,9500000,, Пришвина,19,Опалиха,Опалиха О3,Не указано,-1,Не указано,Не указано,Не указано
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308912305/,Красногорск,sale,flat,19,24,1,41.51,15780940,,,к2,Строгино,Квартал Строгино ЖК,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/302743515/,Красногорск,sale,flat,3,6,3,71.9,17773419,,аллея Золотая,4,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
ID 11175322,homeowner,https://krasnogorsk.cian.ru/sale/flat/307361235/,Красногорск,sale,flat,5,8,2,61.0,7650000,, Алексеевская,3,Аникеевка,Опалиха Парк,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/302743512/,Красногорск,sale,flat,5,6,2,64.2,16152939,,аллея Золотая,4,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
WHITE BROKER,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308568567/,Красногорск,sale,flat,7,34,1,35.0,8150000,,,к13,Строгино,Спутник ЖК,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/307229977/,Красногорск,sale,flat,5,25,2,67.48,17612482,,,к6,Павшино,М 5 ЖК,Не указано,-1,Не указано,Не указано,Не указано
VIVAVI ESTATE,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307287934/,Красногорск,sale,flat,4,22,1,50.6,8490000,,бульвар Подмосковный,8,Пенягино,,Не указано,-1,Не указано,Не указано,Не указано
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/304049809/,Красногорск,sale,flat,26,28,2,72.56,16802429,,,к8,Павшино,Тетрис ЖК,Не указано,-1,Не указано,Не указано,Не указано
Самолет Плюс Москва ЦАО,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307965044/,Красногорск,sale,flat,2,32,1,35.23,8790000,, Липовой Рощи,1к1,Липовая Роща,Sky Sputnik,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/297605085/,Красногорск,sale,flat,2,6,3,70.6,16640343,,аллея Золотая,4,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
ID 97522195,homeowner,https://krasnogorsk.cian.ru/sale/flat/308846204/,Красногорск,sale,flat,15,43,1,37.0,9200000,, Авангардная,6,Пенягино,ART,Не указано,-1,Не указано,Не указано,Не указано
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/302743616/,Красногорск,sale,flat,1,6,2,44.4,12947909,,аллея Золотая,1,Опалиха,8 кленов,Не указано,-1,Не указано,Не указано,Не указано
